"id","created_date","modified_date","available_globally","locale","original_title","release_date","title"
57,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,Little Angel
58,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,닥터슬럼프,,Doctor Slump
59,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,"The Program: Cons, Cults and Kidnapping"
60,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Entrevías,,Wrong Side of the Tracks
61,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Forst,,Detective Forst
62,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,PAW Patrol
63,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,Jurassic World: Chaos Theory
64,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,Warrior (2019)
65,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,하이라키,,Hierarchy
66,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Gabby's Dollhouse
67,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,Brooklyn Nine-Nine
68,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Boy Swallows Universe
69,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,Resident Alien
70,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,El niñero,,The Manny
71,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Liebes Kind,,Dear Child
72,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Dead Boy Detectives
73,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,The 8 Show
74,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Mano de hierro,,Iron Reign
75,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,Suits (2011)
76,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,ワンピース,,ONE PIECE
77,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Bodkin
78,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Galinha Pintadinha,,Lottie Dottie Chicken
79,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,Avatar: The Last Airbender (2005)
80,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,En helt vanlig familj,,A Nearly Normal Family
81,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,Loudermilk
82,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,경성크리처,,Gyeongseong Creature
83,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,피지컬: 100,,Physical: 100
84,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,The Crown
85,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,,Formula 1: Drive to Survive
86,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Unicorn Academy
87,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,Midtsommernatt,,Midsummer Night
88,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Love on the Spectrum
89,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Can I Tell You A Secret?
90,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Perfect Match
91,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,웰컴투 삼달리,,Welcome to Samdal-ri
92,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,en,,,Stranger Things
93,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,킹더랜드,,King the Land
94,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,en,,,"House, M.D."
