"id","created_date","modified_date","available_globally","locale","original_title","release_date","runtime","title"
3519,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,102,Il giorno più bello
3520,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,93,Il Mammone
3521,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,106,Insidious: Chapter 2
3522,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,102,Just My Luck
3523,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,93,La Tour Montparnasse infernale
3524,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,104,Lady Driver
3525,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,93,Leprechaun Returns
3526,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,105,Letters to Juliet
3527,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-04-10,101,Love Wedding Repeat
3528,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,91,Luccas Neto em: A Gincana na Netoland
3529,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,true,,,2020-12-18,94,Ma Rainey's Black Bottom
3530,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,,,88,Marmaduke (2010)
3531,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Manželé Stodolovi,,104,Mr. & Mrs. Stodola
3532,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Mon meilleur ami,,95,My Best Friend
3533,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,Meus 15 Anos,,105,My Sweet Fifteen
3534,2024-01-01 00:00:00.000 +0700,2024-01-01 00:00:00.000 +0700,false,,어게인 1997,,104,Once Again
